ID_CLIENTE|TIPO_ID|NOMBRE CLIENTE|CORREO ELECTRONICO|CIUDAD|NUMERO CUENTA|FECHA ACTIVACION|ID_PROUCTO
11226772|4|Ishmael Kerr|molestie.tortor@hendreritnequeIn.net|Capena|154|17/02/2018|2
20426881|4|Adam Ware|eleifend@Nullamsuscipitest.co.uk|Oristano|751|09/01/2016|6
8365616|4|Gannon Burton|Aliquam.adipiscing.lobortis@diam.edu|Hove|430|15/05/2016|9
17476704|3|Wayne Singleton|consectetuer@gravida.net|Sunset Point|799|20/04/2017|4
29998183|3|Caesar Dudley|lorem.ut.aliquam@tellusimperdietnon.com|Gresham|579|05/01/2020|10
19869212|4|Hamish Owen|libero.dui@idblandit.co.uk|Buxton|636|30/05/2019|1
40313257|2|Paul Moore|luctus.felis.purus@Donecest.net|Fallais|736|22/10/2018|8
31794100|4|Dane Chambers|Fusce@sitametnulla.ca|High Level|732|19/10/2015|6
15802045|4|Dennis Gilmore|libero.est.congue@facilisislorem.ca|Cunco|262|16/11/2018|5
45677801|2|Oliver Levine|sagittis.Nullam.vitae@sociisnatoque.org|Irkutsk|211|25/06/2021|1
6091215|4|Lamar Foster|In.at@Nunc.net|Pelarco|145|22/11/2019|7
39719486|4|Tad Roberson|pellentesque@Pellentesque.com|Oetingen|881|23/08/2021|1
29776840|3|Odysseus Jimenez|risus@fermentumvel.ca|Völkermarkt|795|19/05/2020|4
40314195|1|Fritz Hayes|Duis.mi@Duismienim.co.uk|Mannheim|421|28/04/2016|2
14230515|4|Akeem Richardson|congue@congueturpis.net|Caxias|491|10/10/2019|6
29398471|1|Hu Calhoun|pede@auctornuncnulla.edu|Mobile|824|19/09/2019|8
12671156|2|Gavin Harmon|eros.Nam.consequat@enim.com|As|302|08/10/2016|8
32066600|4|Elliott Stevens|id@tempor.com|Limena|489|06/04/2017|3
32313782|3|Garrett Herring|felis@risusDonecegestas.net|Le Grand-Quevilly|543|02/02/2016|2
45755275|4|Xander Clemons|velit.eget.laoreet@vel.ca|Rea|620|25/04/2017|4
38502280|4|Kasimir Delacruz|in@ipsumdolorsit.org|Killa Saifullah|827|16/06/2020|6
43058983|4|Rogan Pate|In@nequeNullam.org|Belvedere Ostrense|560|27/01/2015|3
42337482|3|Garth Oneill|egestas.lacinia.Sed@tortorat.net|Nieuwerkerken|639|11/03/2016|5
5545383|2|Ferris Hatfield|libero.Donec.consectetuer@enimcommodohendrerit.co.uk|Oudekapelle|379|23/08/2016|5
19937254|3|Kaseem Snider|nisi.magna@sagittisaugue.co.uk|Licantén|415|22/10/2016|1
47954314|1|Elvis Soto|dolor.Fusce@at.co.uk|Wilmington|527|22/09/2017|2
27372465|3|Bert Mckee|pede.malesuada.vel@egestasligulaNullam.com|Retie|734|28/01/2020|8
28804047|2|Dolan Crawford|nascetur@magnaDuisdignissim.com|Bikaner|130|21/07/2015|10
30091597|2|Julian Whitley|lorem@odiosagittissemper.com|Nuevo Laredo|967|04/03/2019|7
48282405|2|Jacob Nixon|mi.eleifend.egestas@nonlacinia.edu|Shippagan|547|30/09/2019|1
35685471|1|Jermaine Mcintyre|odio@Praesenteudui.com|Zaanstad|131|09/02/2019|10
48017535|2|Richard Moore|ut.pharetra.sed@congueaaliquet.co.uk|Sneek|764|10/06/2018|3
23100262|3|Guy Sullivan|imperdiet@Namtempordiam.com|Nakusp|676|31/12/2019|5
8817152|2|Clarke James|blandit@portaelita.edu|Itabuna|512|07/07/2019|1
32140842|3|Edan Hernandez|mollis.vitae@cursuspurus.com|Melipeuco|382|06/12/2019|5
